customer_id,risk_score,risk_segment
1,20.0,Low Risk
1,29.0,Medium Risk
1,59.75,High Risk
1,51.75,High Risk
1,19.25,Low Risk
1,35.0,Medium Risk
1,27.5,Medium Risk
1,34.25,Medium Risk
1,27.25,Medium Risk
1,74.0,High Risk
1,42.25,Medium Risk
1,61.5,High Risk
1,39.25,Medium Risk
1,47.0,Medium Risk
1,56.75,High Risk
2,19.25,Low Risk
2,20.0,Low Risk
2,40.0,Medium Risk
2,23.0,Low Risk
2,90.0,Critical Risk
2,50.5,High Risk
2,51.0,High Risk
2,52.0,High Risk
2,69.0,High Risk
2,92.0,Critical Risk
2,74.5,High Risk
3,51.5,High Risk
3,34.25,Medium Risk
3,19.25,Low Risk
3,54.5,High Risk
3,74.0,High Risk
3,31.75,Medium Risk
3,56.75,High Risk
3,53.5,High Risk
3,32.5,Medium Risk
3,37.25,Medium Risk
3,41.5,Medium Risk
3,82.0,Critical Risk
3,23.0,Low Risk
3,42.25,Medium Risk
3,64.0,High Risk
3,77.0,Critical Risk
4,82.0,Critical Risk
4,22.25,Low Risk
4,37.0,Medium Risk
4,26.75,Medium Risk
4,20.0,Low Risk
4,41.25,Medium Risk
4,19.25,Low Risk
4,35.5,Medium Risk
4,49.75,Medium Risk
4,46.75,Medium Risk
5,58.5,High Risk
5,36.5,Medium Risk
5,51.75,High Risk
5,32.5,Medium Risk
5,37.25,Medium Risk
5,56.75,High Risk
5,20.0,Low Risk
5,19.25,Low Risk
5,22.25,Low Risk
5,34.25,Medium Risk
5,74.0,High Risk
5,27.5,Medium Risk
5,39.25,Medium Risk
5,31.75,Medium Risk
5,77.0,Critical Risk
5,52.5,High Risk
5,44.0,Medium Risk
6,43.0,Medium Risk
6,39.25,Medium Risk
6,20.0,Low Risk
6,39.75,Medium Risk
6,92.0,Critical Risk
6,56.5,High Risk
6,35.0,Medium Risk
6,29.0,Medium Risk
6,47.0,Medium Risk
6,27.25,Medium Risk
7,34.25,Medium Risk
7,23.0,Low Risk
7,20.0,Low Risk
7,44.0,Medium Risk
7,19.25,Low Risk
7,56.5,High Risk
7,32.5,Medium Risk
7,37.0,Medium Risk
7,39.25,Medium Risk
7,38.0,Medium Risk
8,20.0,Low Risk
8,22.25,Low Risk
8,27.5,Medium Risk
8,51.5,High Risk
8,74.0,High Risk
8,19.25,Low Risk
8,54.5,High Risk
8,28.0,Medium Risk
8,56.5,High Risk
8,64.0,High Risk
8,69.0,High Risk
8,26.75,Medium Risk
8,31.75,Medium Risk
8,27.25,Medium Risk
8,40.0,Medium Risk
9,40.0,Medium Risk
9,27.5,Medium Risk
9,28.0,Medium Risk
9,19.25,Low Risk
9,22.25,Low Risk
9,35.0,Medium Risk
9,46.75,Medium Risk
9,20.0,Low Risk
9,57.5,High Risk
9,47.5,Medium Risk
9,35.5,Medium Risk
9,23.0,Low Risk
9,31.75,Medium Risk
10,56.75,High Risk
10,67.0,High Risk
10,19.25,Low Risk
10,51.75,High Risk
10,27.25,Medium Risk
10,49.75,Medium Risk
10,20.0,Low Risk
10,40.5,Medium Risk
10,29.0,Medium Risk
10,47.25,Medium Risk
10,30.5,Medium Risk
11,47.25,Medium Risk
11,27.25,Medium Risk
11,19.25,Low Risk
11,32.0,Medium Risk
11,28.0,Medium Risk
11,20.0,Low Risk
11,39.5,Medium Risk
11,46.75,Medium Risk
11,27.5,Medium Risk
11,38.0,Medium Risk
11,29.0,Medium Risk
11,29.75,Medium Risk
12,19.25,Low Risk
12,34.25,Medium Risk
12,22.0,Low Risk
12,60.5,High Risk
12,46.75,Medium Risk
12,28.0,Medium Risk
12,41.5,Medium Risk
12,20.0,Low Risk
12,29.75,Medium Risk
12,49.0,Medium Risk
12,44.75,Medium Risk
12,40.0,Medium Risk
12,47.5,Medium Risk
12,44.0,Medium Risk
12,31.75,Medium Risk
12,32.5,Medium Risk
12,37.0,Medium Risk
12,40.5,Medium Risk
13,51.75,High Risk
13,35.5,Medium Risk
13,32.5,Medium Risk
13,37.25,Medium Risk
13,27.5,Medium Risk
13,34.25,Medium Risk
13,29.5,Medium Risk
13,31.75,Medium Risk
13,41.5,Medium Risk
13,19.25,Low Risk
13,46.75,Medium Risk
13,43.0,Medium Risk
13,40.0,Medium Risk
13,61.5,High Risk
13,35.0,Medium Risk
13,20.0,Low Risk
13,26.75,Medium Risk
13,39.25,Medium Risk
14,23.0,Low Risk
14,35.5,Medium Risk
14,19.25,Low Risk
14,64.0,High Risk
14,57.5,High Risk
14,66.0,High Risk
14,37.0,Medium Risk
14,69.0,High Risk
14,50.5,High Risk
14,44.5,Medium Risk
14,64.5,High Risk
14,60.5,High Risk
14,52.5,High Risk
14,35.0,Medium Risk
15,19.25,Low Risk
15,22.25,Low Risk
15,32.5,Medium Risk
15,47.5,Medium Risk
15,27.5,Medium Risk
15,51.75,High Risk
15,34.25,Medium Risk
15,20.0,Low Risk
15,39.75,Medium Risk
15,40.0,Medium Risk
15,35.0,Medium Risk
15,26.75,Medium Risk
15,23.0,Low Risk
15,38.0,Medium Risk
15,25.0,Low Risk
15,43.0,Medium Risk
16,74.0,High Risk
16,29.75,Medium Risk
16,27.5,Medium Risk
16,34.25,Medium Risk
16,32.5,Medium Risk
16,27.25,Medium Risk
16,31.75,Medium Risk
16,41.5,Medium Risk
16,35.5,Medium Risk
16,40.0,Medium Risk
16,26.75,Medium Risk
16,20.0,Low Risk
16,22.25,Low Risk
16,30.5,Medium Risk
17,34.25,Medium Risk
17,39.25,Medium Risk
17,20.0,Low Risk
17,40.0,Medium Risk
17,60.5,High Risk
17,56.5,High Risk
17,19.25,Low Risk
17,35.0,Medium Risk
17,51.75,High Risk
17,56.75,High Risk
17,36.5,Medium Risk
17,52.5,High Risk
18,39.75,Medium Risk
18,29.0,Medium Risk
18,52.5,High Risk
18,34.25,Medium Risk
18,19.25,Low Risk
18,77.0,Critical Risk
18,41.5,Medium Risk
18,32.5,Medium Risk
18,40.0,Medium Risk
18,28.0,Medium Risk
18,26.75,Medium Risk
18,22.0,Low Risk
18,20.0,Low Risk
18,39.25,Medium Risk
19,26.75,Medium Risk
19,19.25,Low Risk
19,36.5,Medium Risk
19,47.5,Medium Risk
19,34.25,Medium Risk
19,35.0,Medium Risk
19,67.0,High Risk
19,52.5,High Risk
19,46.0,Medium Risk
19,57.0,High Risk
19,48.0,Medium Risk
19,49.0,Medium Risk
19,60.5,High Risk
19,39.75,Medium Risk
19,59.5,High Risk
19,22.0,Low Risk
19,20.0,Low Risk
19,56.5,High Risk
19,21.25,Low Risk
19,56.75,High Risk
19,35.5,Medium Risk
19,34.75,Medium Risk
19,32.5,Medium Risk
19,51.75,High Risk
20,40.5,Medium Risk
20,34.75,Medium Risk
20,22.25,Low Risk
20,19.25,Low Risk
20,20.0,Low Risk
20,39.25,Medium Risk
20,26.75,Medium Risk
20,28.0,Medium Risk
20,51.75,High Risk
20,35.5,Medium Risk
20,40.0,Medium Risk
20,29.75,Medium Risk
20,42.25,Medium Risk
20,31.75,Medium Risk
20,74.0,High Risk
20,27.25,Medium Risk
21,19.25,Low Risk
21,54.75,High Risk
21,49.0,Medium Risk
21,20.0,Low Risk
21,35.0,Medium Risk
21,38.0,Medium Risk
21,51.5,High Risk
21,50.5,High Risk
21,74.0,High Risk
21,47.5,Medium Risk
21,27.5,Medium Risk
21,66.5,High Risk
21,39.25,Medium Risk
21,40.0,Medium Risk
21,46.75,Medium Risk
21,51.75,High Risk
21,43.0,Medium Risk
21,31.75,Medium Risk
21,56.75,High Risk
21,34.75,Medium Risk
22,44.0,Medium Risk
22,20.0,Low Risk
22,51.75,High Risk
22,47.5,Medium Risk
22,19.25,Low Risk
22,23.0,Low Risk
22,42.0,Medium Risk
22,40.0,Medium Risk
22,27.5,Medium Risk
22,49.0,Medium Risk
22,46.75,Medium Risk
22,32.5,Medium Risk
22,34.25,Medium Risk
22,42.25,Medium Risk
22,22.25,Low Risk
22,51.0,High Risk
22,52.5,High Risk
23,39.25,Medium Risk
23,20.0,Low Risk
23,42.25,Medium Risk
23,26.75,Medium Risk
23,77.0,Critical Risk
23,22.25,Low Risk
23,34.25,Medium Risk
23,19.25,Low Risk
23,23.0,Low Risk
23,74.0,High Risk
23,47.25,Medium Risk
23,39.75,Medium Risk
24,26.75,Medium Risk
24,32.5,Medium Risk
24,20.0,Low Risk
24,19.25,Low Risk
24,46.75,Medium Risk
24,53.0,High Risk
24,56.75,High Risk
24,40.0,Medium Risk
24,87.0,Critical Risk
24,56.5,High Risk
24,74.0,High Risk
24,51.5,High Risk
24,37.25,Medium Risk
25,32.5,Medium Risk
25,74.0,High Risk
25,29.0,Medium Risk
25,20.0,Low Risk
25,27.5,Medium Risk
25,46.75,Medium Risk
25,64.0,High Risk
25,35.0,Medium Risk
25,39.25,Medium Risk
25,56.5,High Risk
25,31.75,Medium Risk
25,77.0,Critical Risk
25,49.0,Medium Risk
25,27.25,Medium Risk
25,44.0,Medium Risk
25,34.25,Medium Risk
25,92.0,Critical Risk
25,36.5,Medium Risk
25,26.75,Medium Risk
26,20.0,Low Risk
26,48.0,Medium Risk
26,29.0,Medium Risk
26,19.25,Low Risk
26,54.75,High Risk
26,49.75,Medium Risk
26,51.75,High Risk
26,36.5,Medium Risk
26,27.25,Medium Risk
26,28.75,Medium Risk
26,56.5,High Risk
26,46.75,Medium Risk
26,57.5,High Risk
27,35.5,Medium Risk
27,23.0,Low Risk
27,69.0,High Risk
27,26.75,Medium Risk
27,74.0,High Risk
27,19.25,Low Risk
27,28.0,Medium Risk
27,29.75,Medium Risk
27,54.5,High Risk
27,31.75,Medium Risk
27,32.5,Medium Risk
27,34.75,Medium Risk
27,59.5,High Risk
27,64.0,High Risk
27,47.5,Medium Risk
27,66.5,High Risk
27,20.0,Low Risk
27,21.25,Low Risk
28,19.25,Low Risk
28,32.5,Medium Risk
28,51.5,High Risk
28,29.0,Medium Risk
28,65.5,High Risk
28,35.0,Medium Risk
28,64.0,High Risk
28,44.5,Medium Risk
28,40.0,Medium Risk
28,57.5,High Risk
28,51.75,High Risk
28,56.5,High Risk
28,66.0,High Risk
28,74.0,High Risk
28,55.5,High Risk
28,39.25,Medium Risk
29,20.0,Low Risk
29,44.0,Medium Risk
29,19.25,Low Risk
29,29.0,Medium Risk
29,32.5,Medium Risk
29,31.75,Medium Risk
29,49.0,Medium Risk
29,56.75,High Risk
29,27.25,Medium Risk
29,26.75,Medium Risk
29,69.75,High Risk
29,28.0,Medium Risk
30,29.0,Medium Risk
30,26.75,Medium Risk
30,34.25,Medium Risk
30,20.0,Low Risk
30,39.25,Medium Risk
30,53.0,High Risk
30,37.25,Medium Risk
30,44.0,Medium Risk
30,19.25,Low Risk
30,46.75,Medium Risk
30,56.5,High Risk
30,74.0,High Risk
30,47.5,Medium Risk
30,52.25,High Risk
30,56.75,High Risk
30,32.5,Medium Risk
30,31.75,Medium Risk
30,57.0,High Risk
30,51.75,High Risk
30,27.5,Medium Risk
30,41.5,Medium Risk
30,28.0,Medium Risk
31,41.5,Medium Risk
31,20.0,Low Risk
31,39.25,Medium Risk
31,29.0,Medium Risk
31,19.25,Low Risk
