Feature,Importance
cat__merchant_Cryptocurrency,0.16524331
num__high_distance_flag,0.124809995
num__merchant_risk_score,0.07265822
num__distance_from_home,0.058275316
num__blocked_cards,0.023190115
num__hour,0.018042555
num__amount_deviation,0.01658364
cat__merchant_Gaming,0.015736204
cat__merchant_Food Delivery,0.014832832
num__is_night_transaction,0.014686693
num__location_diversity,0.014232227
num__amount_to_avg_ratio,0.013865194
num__transaction_zscore,0.013746606
num__has_credit_card,0.011634408
num__risk_score,0.011509313
cat__city_Hyderabad,0.011413342
num__avg_credit_limit,0.010773082
num__is_active,0.010764672
cat__merchant_Electronics,0.010558283
num__max_credit_limit,0.010252647
num__tenure_days,0.01008859
num__income,0.0100318855
cat__merchant_Travel,0.009976604
num__number_of_cards,0.009864423
cat__account_type_Premium,0.009772315
cat__location_Bangalore,0.009390387
cat__location_Chennai,0.008882745
cat__city_Chennai,0.008872207
num__spend_credit_ratio,0.008858872
num__age,0.008771893
num__merchant_diversity,0.008709647
cat__city_Mumbai,0.008706729
num__amount,0.008694546
cat__account_type_Current,0.008641506
cat__location_Hyderabad,0.008549757
cat__channel_UPI,0.008396485
cat__location_Mumbai,0.008349043
num__channel_risk_score,0.0083042495
cat__device_type_Android,0.00808942
cat__merchant_Groceries,0.008085624
cat__city_Ahmedabad,0.00808163
cat__merchant_Education,0.008022829
cat__channel_NetBanking,0.007935859
cat__location_Delhi,0.007926646
num__is_weekend,0.007895423
cat__city_Pune,0.007877315
num__minutes_since_last_txn,0.0077780173
cat__merchant_Healthcare,0.007609305
cat__location_Ahmedabad,0.0075480095
cat__channel_Card,0.007423468
cat__merchant_Restaurant,0.007351252
num__device_risk_score,0.0073136007
cat__merchant_Fuel,0.007267828
num__day_of_week,0.007207017
cat__location_Kolkata,0.0071161864
cat__device_type_iPhone,0.007109328
cat__city_Bangalore,0.0070788455
cat__merchant_Entertainment,0.0070183403
cat__city_Delhi,0.0067141284
cat__device_type_Web,0.0065324516
cat__merchant_Shopping Mall,0.006301935
cat__location_Pune,0.006209412
cat__city_Kolkata,0.0062072333
num__high_amount_anomaly,0.00580993
num__rapid_txn_flag,0.0048184134
