customer_id,age,income,city,account_type,join_date,tenure_days,risk_score,is_active,avg_txn_amount,std_txn_amount,total_spend,txn_count,fraud_count,fraud_rate
1,56,251448764.58,Kolkata,Current,2024-10-27,580,0.045,True,45621.79,61501.02,1049301.28,23,1,0.043478260869565216
2,41,33885488.65,Chennai,Current,2019-01-24,2683,0.065,False,43101.94,47820.7,689630.98,16,5,0.3125
3,61,524343611.89,Bangalore,Current,2019-04-20,2597,0.002,True,67177.96,84533.03,1410737.16,21,4,0.19047619047619047
4,59,123405255.73,Pune,Premium,2016-07-28,3593,0.173,True,13757.3,16961.32,247631.39,18,1,0.05555555555555555
5,68,48306765.08,Mumbai,Premium,2018-12-25,2713,0.218,True,62847.55,65063.81,1508341.11,24,1,0.041666666666666664
6,21,216304205.29,Delhi,Current,2024-04-04,786,0.189,True,41159.07,73451.21,493908.8,12,1,0.08333333333333333
7,37,86621706.42,Mumbai,Premium,2022-10-11,1327,0.167,True,11774.22,15744.26,223710.11,19,2,0.10526315789473684
8,57,576471089.33,Hyderabad,Current,2019-03-04,2644,0.021,True,69229.07,89412.52,1384581.45,20,1,0.05
9,35,293834882.38,Mumbai,Current,2025-08-22,281,0.02,False,30254.78,50937.24,574840.88,19,0,0.0
10,38,54329409.39,Delhi,Current,2019-06-16,2540,0.083,False,44407.4,56006.72,621703.63,14,2,0.14285714285714285
11,77,59542783.39,Ahmedabad,Current,2016-08-03,3587,0.249,True,10315.92,19127.62,257898.11,25,2,0.08
12,25,38907823.66,Bangalore,Premium,2025-02-28,456,0.221,True,26845.37,35037.42,671134.18,25,2,0.08
13,76,29627832.51,Delhi,Premium,2021-08-01,1763,0.362,True,35510.09,36370.31,1065302.61,30,2,0.06666666666666667
14,72,40719915.44,Ahmedabad,Current,2020-09-21,2077,0.223,True,52934.22,53248.42,846947.52,16,2,0.125
15,52,60899583.53,Kolkata,Premium,2024-03-26,795,0.206,True,22702.34,30069.76,590260.89,26,0,0.0
16,44,33287197.65,Chennai,Current,2018-08-22,2838,0.003,True,42724.78,72333.91,769045.99,18,2,0.1111111111111111
17,49,51795391.96,Chennai,Premium,2026-05-24,6,0.325,True,45123.65,62686.4,812225.73,18,3,0.16666666666666666
18,46,14875318.64,Pune,Current,2017-10-30,3134,0.029,True,24078.24,29953.93,577877.7,24,2,0.08333333333333333
19,59,338514326.58,Pune,Premium,2017-06-23,3263,0.169,True,49135.0,55378.57,1474049.88,30,1,0.03333333333333333
20,75,59709753.77,Mumbai,Current,2025-05-17,378,0.241,True,29071.56,57469.55,755860.58,26,2,0.07692307692307693
21,79,21815282.08,Pune,Current,2016-08-13,3577,0.203,True,57486.26,64237.77,1609615.18,28,1,0.03571428571428571
22,68,26597069.75,Ahmedabad,Current,2025-02-19,465,0.017,True,34118.78,34761.34,887088.36,26,1,0.038461538461538464
23,58,48567506.51,Bangalore,Current,2016-08-03,3587,0.07,True,29874.19,55721.92,627357.93,21,0,0.0
24,66,159229023.39,Hyderabad,Current,2023-10-17,956,0.098,True,51900.49,67596.86,1193711.3,23,2,0.08695652173913043
25,54,115856691.98,Pune,Current,2018-03-29,2984,0.045,True,56910.78,76826.84,1365858.67,24,4,0.16666666666666666
26,21,92918331.01,Pune,Current,2026-03-10,81,0.324,True,36780.38,53385.99,772388.04,21,1,0.047619047619047616
27,69,431248750.62,Bangalore,Premium,2017-03-30,3348,0.165,True,37450.42,50446.21,973710.85,26,2,0.07692307692307693
28,46,119185166.12,Delhi,Current,2017-09-04,3190,0.022,True,55340.5,61000.54,1217490.97,22,3,0.13636363636363635
29,36,63373920.33,Mumbai,Premium,2022-02-04,1576,0.218,True,21740.73,35890.72,586999.74,27,0,0.0
30,40,11138698.56,Ahmedabad,Premium,2026-03-05,86,0.323,True,44817.28,58460.22,1299701.05,29,3,0.10344827586206896
