transaction_id,customer_id,amount,merchant,channel,device_type,transaction_time,location,is_fraud,fraud_score,hour,day_of_week,distance_from_home
1,669,10545.95,Entertainment,Card,Android,2024-03-23 01:11:00,Pune,0,10,1,5,0
2,162,54972.23,Shopping Mall,UPI,iPhone,2024-01-06 19:23:00,Delhi,0,6,19,5,0
3,1965,4980.77,Groceries,UPI,iPhone,2024-10-31 10:06:00,Mumbai,0,2,10,3,0
4,1441,39187.78,Healthcare,UPI,Web,2024-09-28 08:07:00,Hyderabad,0,6,8,5,0
5,1016,448.53,Food Delivery,UPI,Web,2024-11-23 17:41:00,Ahmedabad,1,0,17,5,0
6,1657,66973.28,Shopping Mall,Card,iPhone,2024-07-07 17:23:00,Mumbai,0,6,17,6,0
7,1540,79550.5,Cryptocurrency,NetBanking,Web,2024-05-13 02:19:00,Mumbai,1,16,2,0,0
8,1380,3246.57,Fuel,NetBanking,iPhone,2024-04-13 06:42:00,Hyderabad,0,12,6,5,0
9,1484,527.96,Fuel,Card,Android,2024-07-25 16:52:00,Chennai,0,3,16,3,100
10,1082,25849.92,Healthcare,Card,iPhone,2024-04-05 14:36:00,Hyderabad,0,6,14,4,0
11,65,2941.02,Entertainment,Card,Android,2024-07-23 13:42:00,Bangalore,0,2,13,1,0
12,1485,138841.81,Travel,UPI,Android,2024-12-01 12:39:00,Ahmedabad,0,8,12,6,0
14,1577,4959.8,Fuel,Card,Web,2024-06-29 22:43:00,Chennai,0,2,22,5,0
15,1712,61338.4,Education,Card,iPhone,2024-09-15 21:05:00,Bangalore,0,6,21,6,0
17,536,9698.25,Entertainment,UPI,iPhone,2024-04-24 08:58:00,Mumbai,0,6,8,2,0
18,1273,18196.13,Restaurant,NetBanking,iPhone,2024-10-15 14:17:00,Pune,0,14,14,1,0
19,453,1643.8,Fuel,Card,Android,2024-07-24 09:35:00,Mumbai,0,0,9,2,0
21,1796,250023.48,Cryptocurrency,NetBanking,Android,2024-12-20 16:13:00,Mumbai,0,12,16,4,0
22,682,2604.13,Entertainment,Card,iPhone,2024-02-15 14:55:00,Delhi,0,0,14,3,0
23,278,22694.05,Healthcare,UPI,Web,2024-09-26 13:35:00,Kolkata,0,6,13,3,0
24,423,57247.98,Shopping Mall,Card,iPhone,2024-05-13 05:59:00,Hyderabad,0,8,5,0,0
26,1321,7159.12,Education,UPI,iPhone,2024-04-27 07:17:00,Ahmedabad,0,4,7,5,0
27,164,4258.75,Restaurant,Card,Android,2024-05-13 11:02:00,Chennai,0,2,11,0,0
28,78,39926.9,Education,UPI,iPhone,2024-05-20 09:41:00,Mumbai,0,6,9,0,0
29,1550,10816.67,Entertainment,UPI,Android,2024-12-17 20:25:00,Delhi,0,6,20,1,0
30,800,30092.34,Healthcare,UPI,Android,2024-10-30 09:42:00,Hyderabad,0,9,9,2,100
31,2000,61337.18,Education,UPI,Android,2024-08-28 14:46:00,Bangalore,0,6,14,2,0
33,683,20949.68,Gaming,UPI,Android,2024-02-21 20:09:00,Delhi,0,9,20,2,0
34,1278,1460.51,Restaurant,NetBanking,Android,2024-11-24 10:02:00,Pune,0,0,10,6,0
35,1797,12515.24,Gaming,NetBanking,Web,2024-04-05 12:46:00,Ahmedabad,0,9,12,4,0
36,1804,10239.48,Entertainment,Card,Android,2024-04-22 21:02:00,Kolkata,0,6,21,0,0
37,1502,34874.53,Travel,UPI,iPhone,2024-01-03 20:32:00,Ahmedabad,0,8,20,2,0
38,609,6532.55,Restaurant,UPI,iPhone,2024-06-03 16:15:00,Mumbai,0,4,16,0,0
39,1769,8450.76,Entertainment,UPI,Web,2024-01-16 16:03:00,Mumbai,0,6,16,1,0
40,35,6522.64,Gaming,Card,iPhone,2024-08-13 04:24:00,Ahmedabad,0,11,4,1,0
41,246,63967.29,Shopping Mall,UPI,Android,2024-04-24 12:10:00,Hyderabad,0,8,12,2,0
42,1203,2122.45,Fuel,NetBanking,Web,2024-08-27 14:39:00,Mumbai,0,0,14,1,0
43,893,62434.32,Cryptocurrency,NetBanking,Android,2024-10-25 22:57:00,Pune,0,12,22,4,0
44,349,10240.02,Restaurant,UPI,iPhone,2024-08-17 01:00:00,Ahmedabad,1,10,1,5,0
45,1812,162728.53,Electronics,Card,iPhone,2024-07-28 08:41:00,Chennai,0,6,8,6,0
46,754,27629.78,Electronics,UPI,Android,2024-07-26 10:42:00,Bangalore,0,8,10,4,0
47,1633,5164.45,Entertainment,UPI,iPhone,2024-05-30 18:04:00,Bangalore,0,4,18,3,0
48,145,6928.93,Restaurant,Card,iPhone,2024-11-15 12:03:00,Mumbai,1,8,12,4,0
49,1006,112933.35,Electronics,Card,iPhone,2024-05-04 13:04:00,Hyderabad,0,8,13,5,0
50,1592,77790.48,Cryptocurrency,NetBanking,iPhone,2024-10-08 20:37:00,Chennai,1,12,20,1,0
51,1883,4413.58,Healthcare,UPI,iPhone,2024-10-31 12:02:00,Ahmedabad,0,6,12,3,0
52,1276,29834.3,Shopping Mall,NetBanking,Android,2024-09-21 18:32:00,Kolkata,0,6,18,5,0
55,78,123998.56,Cryptocurrency,NetBanking,Android,2024-05-07 10:55:00,Mumbai,0,12,10,1,0
56,532,2811.97,Restaurant,UPI,Android,2024-04-09 06:16:00,Chennai,0,2,6,1,0
57,772,58923.79,Shopping Mall,Card,Android,2024-04-09 16:47:00,Delhi,1,6,16,1,0
60,1553,8852.96,Restaurant,UPI,iPhone,2024-06-15 09:41:00,Hyderabad,0,6,9,5,0
61,494,181090.6,Electronics,Card,Web,2024-01-26 08:40:00,Bangalore,0,6,8,4,0
62,1949,8493.58,Gaming,NetBanking,Android,2024-05-16 17:28:00,Mumbai,1,9,17,3,0
63,1579,190.13,Food Delivery,Card,iPhone,2024-09-10 04:06:00,Hyderabad,0,4,4,1,0
64,1007,5049.14,Restaurant,Card,iPhone,2024-01-15 01:47:00,Delhi,1,8,1,0,0
65,823,59968.29,Travel,Card,Android,2024-08-29 16:53:00,Pune,0,8,16,3,0
66,1346,899.73,Entertainment,Card,iPhone,2024-04-27 12:34:00,Bangalore,0,0,12,5,0
67,1753,7404.39,Fuel,NetBanking,iPhone,2024-04-26 02:00:00,Hyderabad,0,8,2,4,0
68,1070,48116.05,Electronics,UPI,iPhone,2024-08-19 19:55:00,Chennai,0,8,19,0,0
69,469,91875.85,Cryptocurrency,NetBanking,Android,2024-04-18 13:03:00,Pune,1,16,13,3,0
70,68,59451.85,Shopping Mall,UPI,Android,2024-04-04 04:59:00,Hyderabad,0,10,4,3,0
71,1543,7943.12,Entertainment,Card,Web,2024-09-27 19:58:00,Bangalore,0,4,19,4,0
72,4,9314.27,Restaurant,NetBanking,iPhone,2024-01-19 00:24:00,Pune,0,10,0,4,0
73,1322,2264.14,Entertainment,UPI,Android,2024-10-26 19:02:00,Chennai,0,0,19,5,0
75,206,25468.64,Healthcare,UPI,iPhone,2024-05-30 22:12:00,Delhi,0,6,22,3,0
76,1048,2848.37,Entertainment,UPI,Android,2024-08-30 13:47:00,Mumbai,0,4,13,4,0
78,432,2394.88,Entertainment,Card,Android,2024-06-01 15:34:00,Chennai,0,0,15,5,0
79,657,35623.13,Travel,UPI,Web,2024-10-13 19:23:00,Hyderabad,0,8,19,6,0
81,1576,113213.3,Cryptocurrency,NetBanking,Android,2024-02-07 12:17:00,Kolkata,1,12,12,2,0
82,989,116451.85,Electronics,UPI,iPhone,2024-05-26 12:33:00,Hyderabad,0,6,12,6,0
83,1319,26240.2,Gaming,Card,iPhone,2024-01-11 16:44:00,Chennai,1,9,16,3,0
84,1271,14201.75,Gaming,Card,Web,2024-05-15 15:14:00,Delhi,0,12,15,2,100
85,891,4556.92,Groceries,UPI,Web,2024-12-24 16:27:00,Pune,0,2,16,1,0
87,1005,1705.14,Food Delivery,Card,iPhone,2024-04-09 03:30:00,Mumbai,0,8,3,1,0
