customer_id,city,account_type,income,total_transactions,total_spend,avg_transaction_amount,max_transaction_amount,avg_distance,fraud_transactions,fraud_rate_pct
1,Kolkata,Current,251448768,23,1049301.273,45621.79447,197050.1563,0,1,4.35
2,Chennai,Current,33885488,16,689630.9875,43101.93672,151648.4531,18,5,31.25
3,Bangalore,Current,524343616,21,1410737.173,67177.96063,262671.9063,4,4,19.05
4,Pune,Premium,123405256,18,247631.3901,13757.29945,52938.12891,11,1,5.56
5,Mumbai,Premium,48306764,24,1508341.122,62847.54677,205404.2031,0,1,4.17
6,Delhi,Current,216304208,12,493908.8037,41159.06698,270607.375,8,1,8.33
7,Mumbai,Premium,86621704,19,223710.1122,11774.21643,52343.53125,5,2,10.53
8,Hyderabad,Current,576471104,20,1384581.451,69229.07254,262032.2344,0,1,5
9,Mumbai,Current,293834880,19,574840.8829,30254.78331,201711.625,0,0,0
10,Delhi,Current,54329408,14,621703.6359,44407.40256,187864.4063,7,2,14.29
11,Ahmedabad,Current,59542784,25,257898.1098,10315.92439,99448.64063,4,2,8
12,Bangalore,Premium,38907824,25,671134.1866,26845.36747,153908.875,4,2,8
13,Delhi,Premium,29627832,30,1065302.614,35510.08713,139003.0625,0,2,6.67
14,Ahmedabad,Current,40719916,16,846947.5063,52934.21915,170596.9844,0,2,12.5
15,Kolkata,Premium,60899584,26,590260.8944,22702.34209,135690.0156,0,0,0
16,Chennai,Current,33287198,18,769045.986,42724.777,277656.1875,0,2,11.11
17,Chennai,Premium,51795392,18,812225.7375,45123.65209,196911.5,0,3,16.67
18,Pune,Current,14875319,24,577877.6961,24078.23734,113289.7266,0,2,8.33
19,Pune,Premium,338514336,30,1474049.877,49134.99589,190577.625,3,1,3.33
20,Mumbai,Current,59709752,26,755860.5774,29071.56067,274711.8125,0,2,7.69
21,Pune,Current,21815282,28,1609615.167,57486.25595,259669.8125,3,1,3.57
22,Ahmedabad,Current,26597070,26,887088.363,34118.78319,114792.4766,0,1,3.85
23,Bangalore,Current,48567508,21,627357.9382,29874.18753,237467.7656,0,0,0
24,Hyderabad,Current,159229024,23,1193711.275,51900.49023,274773.4688,13,2,8.7
25,Pune,Current,115856688,24,1365858.661,56910.77755,265534.625,4,4,16.67
26,Pune,Current,92918328,21,772388.0417,36780.38294,205140.875,0,1,4.76
27,Bangalore,Premium,431248736,26,973710.8423,37450.41701,164410.4063,0,2,7.69
28,Delhi,Current,119185168,22,1217490.984,55340.49928,202916.4375,4,3,13.64
29,Mumbai,Premium,63373920,27,586999.7336,21740.73087,154950.4531,3,0,0
30,Ahmedabad,Premium,11138699,29,1299701.041,44817.27727,193622,10,3,10.34
31,Mumbai,Premium,50903896,30,943015.6196,31433.85399,110613.3594,13,3,10
32,Mumbai,Premium,243111888,24,597451.3298,24893.80541,274310.1875,4,1,4.17
33,Mumbai,Current,274426464,21,500299.8395,23823.80188,224516.3281,0,2,9.52
34,Bangalore,Current,94998128,17,692886.4281,40758.02518,178352.5781,5,1,5.88
35,Ahmedabad,Current,48878156,22,460624.0198,20937.45545,112881.3516,0,1,4.55
