transaction_date,total_transactions,fraud_transactions,fraud_loss
03-09-2024,114,10,1331600.556
01-01-2024,118,15,744460.8958
17-08-2024,92,9,614787.207
21-12-2024,110,18,2142615.019
06-05-2024,146,19,1675838.723
18-01-2024,120,12,1196629.756
15-12-2024,122,11,974322.5386
16-10-2024,134,11,990054.0251
24-03-2024,106,14,709435.9276
12-06-2024,143,13,1187636.736
29-09-2024,101,13,764880.6848
10-04-2024,120,13,2030830.984
26-05-2024,109,13,1117340.539
11-08-2024,96,13,1133564.012
28-11-2024,127,9,1078246.267
25-07-2024,121,12,1102783.969
10-02-2024,91,13,1168475.254
06-09-2024,155,13,604271.2226
27-02-2024,133,10,1013369.166
23-09-2024,125,9,1161315.758
03-05-2024,120,9,703177.3232
19-10-2024,92,13,981765.0186
02-07-2024,130,13,1466085.675
20-05-2024,111,14,1385552.104
05-11-2024,137,10,873697.2993
18-12-2024,129,13,1306309.796
04-03-2024,123,18,1399665.185
21-03-2024,105,14,442204.5591
15-06-2024,88,9,997634.5076
21-01-2024,117,12,926146.3518
14-08-2024,146,13,595453.7239
07-02-2024,128,12,1326543.337
13-10-2024,110,7,592334.0527
28-07-2024,102,7,648927.167
26-09-2024,138,17,1375055.128
25-11-2024,124,12,1415981.504
23-05-2024,116,16,1342873.629
13-04-2024,98,9,370817.625
13-02-2024,156,21,1782127.68
08-11-2024,128,10,1100765.859
30-04-2024,145,21,2180411.435
22-07-2024,144,13,821579.7505
05-07-2024,108,12,917633.2759
01-03-2024,135,18,1721340.32
04-12-2024,147,5,522934.4395
18-06-2024,128,12,1167197.567
02-04-2024,127,9,898682.6938
05-10-2024,104,9,1508722.016
01-06-2024,118,15,1206005.474
19-04-2024,135,17,993093.917
17-11-2024,118,5,433979.3174
19-02-2024,126,8,645095.4968
31-07-2024,133,18,952651.7688
14-07-2024,116,9,918492.5234
07-03-2024,133,21,1404874.774
07-01-2024,110,17,1417559.376
12-09-2024,87,2,79068.80078
11-11-2024,133,13,1266173.834
24-01-2024,140,17,1930915.949
26-08-2024,129,12,1175701.603
12-05-2024,110,12,603440.8379
25-10-2024,99,8,572743.6396
08-07-2024,122,9,497232.5837
21-06-2024,130,19,1617037.418
07-12-2024,118,7,834583.2212
30-03-2024,99,16,1357544.528
30-01-2024,127,10,538635.0576
16-04-2024,124,14,1051318.216
04-06-2024,123,11,1370701.059
20-08-2024,142,12,1009281.703
24-12-2024,133,12,1161354.547
03-08-2024,108,4,72042.75098
16-02-2024,114,14,994417.4595
02-10-2024,112,8,1255851.303
22-04-2024,136,11,829926.2993
29-05-2024,147,13,602307.7349
15-09-2024,94,7,497409.6499
04-01-2024,114,12,1161326.792
09-05-2024,128,17,997994.7432
01-12-2024,113,8,674424.9231
14-11-2024,126,14,1037620.096
27-12-2024,121,11,849562.291
11-07-2024,125,17,1296800.986
10-03-2024,102,19,1767352.799
27-03-2024,135,17,1440112.933
24-06-2024,114,13,1235136.762
09-09-2024,155,15,1538543.362
10-01-2024,113,14,1159821.072
23-08-2024,128,15,1599687.089
27-01-2024,96,16,1449637.483
22-10-2024,110,9,598454.1621
18-09-2024,141,16,1348644.863
16-01-2024,124,12,1005424.873
01-09-2024,100,7,893944.5254
21-05-2024,123,8,608144.34
02-02-2024,125,14,742360.8827
31-10-2024,105,7,671434.084
30-12-2024,114,7,536458.1328
08-04-2024,120,9,975139.3286
14-10-2024,123,13,1387784.054
27-06-2024,143,17,1394248.356
25-04-2024,119,10,1237061.729
10-06-2024,117,9,566822.3896
08-02-2024,152,12,734282.7318
09-08-2024,118,14,855143.7371
13-12-2024,114,8,521759.8789
25-02-2024,107,12,694338.3169
13-03-2024,136,12,745494.3517
13-01-2024,123,10,859447.6768
23-07-2024,113,17,1429074.354
08-10-2024,129,13,832232.0969
01-05-2024,130,12,1182464.172
21-09-2024,122,13,1038393.654
18-05-2024,102,10,748048.2578
19-03-2024,140,10,604371.3813
20-11-2024,130,9,723532.4533
17-07-2024,115,14,1040587.233
05-04-2024,111,12,1416150.244
03-11-2024,99,6,544873.4693
05-02-2024,127,22,1856181.494
30-06-2024,88,10,926213.2793
22-02-2024,142,18,1959970.478
29-08-2024,132,13,1629417.45
12-08-2024,131,9,744262.2061
16-12-2024,125,6,566835.4873
11-10-2024,135,19,1778477.082
10-12-2024,137,12,1146917.796
28-10-2024,151,10,746556.4565
24-09-2024,119,9,973590.498
28-04-2024,125,10,759771.5508
07-06-2024,124,13,1081653.646
15-05-2024,149,21,1382727.088
06-08-2024,120,13,1328922.459
28-02-2024,124,15,1296146.411
16-03-2024,107,15,756627.6469
23-11-2024,104,14,569910.261
20-07-2024,98,14,1660042.259
03-07-2024,123,18,1855962.98
19-12-2024,117,11,545882.8896
04-05-2024,101,10,499684.3547
20-10-2024,86,9,558503.1428
16-06-2024,95,12,1089965.243
05-03-2024,131,17,1074572.001
15-08-2024,123,21,2346024.65
22-03-2024,131,19,1419369.128
05-01-2024,144,16,1030904.968
02-12-2024,128,13,1341983.084
29-07-2024,121,17,1285824.207
22-01-2024,115,12,795922.5947
26-11-2024,123,16,1382559.934
10-09-2024,135,15,1163487.702
27-09-2024,130,12,1365771.798
09-11-2024,98,3,356829.7125
24-05-2024,130,17,1641762.627
28-03-2024,123,23,1349878.624
14-04-2024,107,16,1231614.917
06-07-2024,106,13,1124149.11
22-12-2024,130,8,743205.4585
04-09-2024,127,14,1414887.427
19-06-2024,135,15,1334843.716
14-02-2024,121,19,1228664.049
02-03-2024,108,11,820720.0024
18-08-2024,104,8,524076.3936
17-10-2024,130,16,1693765.54
19-01-2024,135,15,957410.8986
02-01-2024,118,14,1166573.136
30-09-2024,124,17,1132761.315
07-05-2024,152,13,853943.2823
29-11-2024,127,17,1292628.929
13-06-2024,118,14,1152356.885
27-05-2024,142,13,1127683.04
25-03-2024,135,20,1917869.164
11-04-2024,119,9,1005963.51
12-11-2024,141,8,722215.9253
26-07-2024,137,11,1338667.027
09-07-2024,146,16,699455.8425
11-02-2024,115,19,1673534.908
25-01-2024,124,13,1287797.366
07-09-2024,112,12,727082.9146
21-08-2024,118,8,695247.9033
06-11-2024,117,14,1086691.618
17-04-2024,123,9,942182.6892
17-02-2024,113,15,1154210.992
31-01-2024,133,13,872250.7974
18-07-2024,127,13,821520.6123
16-09-2024,135,17,1222765.445
03-10-2024,134,14,1189197.728
30-05-2024,117,13,1474530.743
15-11-2024,139,14,817802.5398
23-04-2024,125,21,1874570.552
29-10-2024,133,16,1299156.728
23-02-2024,117,13,1351109.287
12-07-2024,139,11,1224626.505
10-05-2024,131,17,1896305.153
11-12-2024,144,16,1784592.212
25-06-2024,132,11,760670.7883
11-03-2024,128,16,1224305.672
24-08-2024,105,9,545091.7334
11-01-2024,125,14,1077111.076
28-12-2024,105,12,1333035.537
07-08-2024,140,14,1431503.648
28-01-2024,101,10,609146.4128
23-10-2024,119,13,1256204.019
16-05-2024,123,15,1390729.237
06-10-2024,127,9,888307.4824
02-06-2024,100,8,819269.9199
03-04-2024,130,12,905948.7793
20-04-2024,125,9,612613.0117
05-12-2024,111,12,886248.6913
18-11-2024,124,10,654186.3655
01-08-2024,128,9,1081062.463
15-07-2024,122,9,910686.7451
20-02-2024,134,14,1188486.171
08-03-2024,119,22,949929.3203
13-09-2024,113,4,356783.0723
26-04-2024,131,19,1532200.162
27-08-2024,139,20,1367769.756
08-01-2024,114,16,955327.4543
09-10-2024,120,15,1086162.933
13-05-2024,171,17,1384994.208
26-10-2024,103,11,1386709.688
22-06-2024,100,7,427892.5439
08-12-2024,116,14,1491201.086
14-03-2024,135,11,907992.3516
05-06-2024,139,11,1030868.137
25-12-2024,132,11,857480.7896
31-03-2024,113,9,731785.9626
04-08-2024,112,8,989206.5859
19-05-2024,104,18,1005052.23
04-11-2024,121,8,942768.9858
20-03-2024,130,10,593704.7338
01-07-2024,111,11,1042220.378
30-08-2024,131,12,1367616.25
14-06-2024,110,9,468723.949
06-04-2024,105,13,1251213.697
20-01-2024,109,17,1143198.39
13-08-2024,96,4,160534.8118
17-12-2024,158,12,1341724.877
06-02-2024,144,16,935234.5731
12-10-2024,112,7,417231.0569
12-04-2024,129,12,797874.1077
08-06-2024,113,15,1139508.634
25-09-2024,123,5,398360.6406
07-11-2024,129,11,766956.2412
29-04-2024,123,14,1424141.599
24-11-2024,111,15,1944424.807
21-07-2024,91,9,643441.1526
29-02-2024,117,9,664015.1423
17-03-2024,107,10,901994.3701
04-07-2024,106,12,811347.8586
17-01-2024,141,8,1025443.561
19-09-2024,150,8,826059.5059
03-02-2024,133,14,859372.0193
02-09-2024,120,16,1691272.768
16-08-2024,130,16,1063626.901
22-05-2024,131,16,1613086.866
15-10-2024,122,7,916250.457
23-03-2024,104,13,596275.0892
01-11-2024,134,15,1384272.985
14-12-2024,91,5,792229.7813
28-06-2024,117,13,1555517.558
09-04-2024,131,15,1195444.547
11-06-2024,119,13,1291085.197
09-02-2024,97,11,825391.965
10-08-2024,105,7,534684.0068
27-11-2024,136,7,565587.9346
24-07-2024,108,6,772757.835
26-02-2024,119,13,854942.6003
22-09-2024,100,4,291176.1436
21-11-2024,117,6,386317.04
02-05-2024,112,11,816132.1643
05-09-2024,161,13,1774611.677
14-01-2024,106,16,1035436.205
19-08-2024,113,10,546159.5374
03-03-2024,94,13,815453.0562
02-08-2024,120,12,1381280.877
03-01-2024,141,19,1264094.063
18-10-2024,123,7,798641.4199
30-11-2024,88,7,1064953.035
01-10-2024,128,11,951201.4492
08-05-2024,137,13,1025935.201
28-05-2024,132,16,1129899.895
13-11-2024,122,8,681414.1758
09-03-2024,120,9,842256.2275
26-03-2024,132,19,1498729.056
27-07-2024,91,11,813335.6257
26-12-2024,130,15,1692410.455
10-07-2024,123,9,888513.3652
26-01-2024,136,18,1310891.073
08-09-2024,109,10,657359.2245
12-02-2024,108,18,1393387.859
22-08-2024,129,12,961362.053
21-10-2024,140,19,1954888.21
04-10-2024,108,6,391719.4456
18-04-2024,121,11,731703.7199
