merchant,total_transactions,total_amount,avg_amount,fraud_transactions,fraud_rate_pct
Education,3648,127695780.2,35004.32571,287,7.87
Groceries,3510,12239826.06,3487.129932,151,4.3
Entertainment,3776,22052076.18,5840.062547,169,4.48
Food Delivery,3649,5300345.068,1452.547292,130,3.56
Healthcare,3714,77700077.75,20920.861,236,6.35
Cryptocurrency,3845,546910678.4,142239.4482,1542,40.1
Gaming,3854,54796509.1,14218.08747,405,10.51
Shopping Mall,3732,130898185.8,35074.54067,297,7.96
Fuel,3613,15915113.02,4404.957935,151,4.18
Electronics,3607,387773536.3,107505.8321,402,11.14
Travel,3539,251359400.3,71025.54403,543,15.34
Restaurant,3730,40352955.95,10818.48685,202,5.42
